201501,Fall 2015,CIS,110,"Hennessy, Michael Shane",202,75,63,26,4,1,3.22

201501,Fall 2015,CIS,111,"Holleran, Pat ",116,28,43,14,5,6,2.77

201501,Fall 2015,CIS,111,"Hennessy, Michael Shane",106,47,28,12,1,0,3.36

201501,Fall 2015,CIS,122,"Wilkins, David A",135,63,38,18,6,3,3.13

201501,Fall 2015,CIS,199,"Hennessy, Michael Shane",17,0,0,0,0,0,0.0

201501,Fall 2015,CIS,210,"Sventek, Joseph Sherman",126,17,45,36,7,4,2.57

201501,Fall 2015,CIS,212,"Wills, Eric David",86,39,30,5,5,4,3.11

201501,Fall 2015,CIS,313,"Lowd, Daniel Baruch",62,19,27,12,3,1,2.95

201501,Fall 2015,CIS,314,"Kinsy, Michel Ako",76,42,18,6,6,3,3.18

201501,Fall 2015,CIS,399,"Young, Michal Terry",29,8,8,5,0,3,2.76

201501,Fall 2015,CIS,410,"Childs, Henry Roberts",21,13,5,3,0,0,3.43

201501,Fall 2015,CIS,410,"Augustine, Charles Martel",16,3,5,2,0,0,2.95

201501,Fall 2015,CIS,415,"Malony, Allen ",65,12,20,24,7,1,2.5

201501,Fall 2015,CIS,420,"Wilson, Christopher ",27,8,13,5,0,0,3.06

201501,Fall 2015,CIS,422,"Faulk, Stuart ",31,7,18,5,0,1,2.97

201501,Fall 2015,CIS,432,"Rejaie, Reza ",27,8,9,4,1,0,3.15

201501,Fall 2015,CIS,443,"Hornof, Anthony J",19,5,9,2,1,0,2.99

201501,Fall 2015,CIS,451,"Wilson, Christopher ",47,26,13,4,0,0,3.49

201501,Fall 2015,CIS,471,"Dou, Dejing ",20,9,7,0,3,1,3.02

201501,Fall 2015,CIS,510,"Childs, Henry Roberts",10,6,1,1,0,0,3.66

201501,Fall 2015,CIS,571,"Dou, Dejing ",12,7,4,0,0,1,3.33

201501,Fall 2015,CIS,624,"Norris, Boyana Radenska",30,24,6,0,0,0,3.78

201502,Winter 2016,CIS,110,"Colbert, Phillip Dean",214,135,43,12,3,4,3.51

201502,Winter 2016,CIS,111,"Hennessy, Michael Shane",99,31,34,14,1,2,3.07

201502,Winter 2016,CIS,111,"Bird, Brian Arnett",97,32,33,18,1,5,3.02

201502,Winter 2016,CIS,115,"Colbert, Phillip Dean",49,24,12,4,0,1,3.41

201502,Winter 2016,CIS,122,"Wilkins, David A",121,49,37,20,4,0,3.17

201502,Winter 2016,CIS,210,"Freeman Hennessy, Kathleen ",135,17,45,32,15,9,2.36

201502,Winter 2016,CIS,211,"Conery, John ",92,36,29,24,1,0,3.07

201502,Winter 2016,CIS,313,"Wu, Xiaodi ",70,21,27,18,1,0,2.98

201502,Winter 2016,CIS,314,"Wills, Eric David",62,22,22,15,1,2,2.93

201502,Winter 2016,CIS,315,"Wilson, Christopher ",57,26,23,6,1,1,3.28

201502,Winter 2016,CIS,330,"Norris, Boyana Radenska",69,39,18,7,0,3,3.37

201502,Winter 2016,CIS,399,"Young, Michal Terry",15,3,6,2,0,1,2.83

201502,Winter 2016,CIS,422,"Faulk, Stuart ",26,8,14,4,0,0,3.18

201502,Winter 2016,CIS,425,"Ariola, Zena ",61,9,25,18,8,0,2.53

201502,Winter 2016,CIS,429,"Kinsy, Michel Ako",17,7,4,2,2,0,3.01

201502,Winter 2016,CIS,433,"Li, Jun ",24,11,12,1,0,0,3.5

201502,Winter 2016,CIS,453,"Dou, Dejing ",22,10,10,2,0,0,3.5

201502,Winter 2016,CIS,472,"Lowd, Daniel Baruch",19,5,4,2,2,2,2.57

201502,Winter 2016,CIS,490,"Farley, Arthur Melvin",31,11,16,0,0,0,3.45

201502,Winter 2016,CIS,572,"Lowd, Daniel Baruch",13,6,4,0,1,0,3.25

201502,Winter 2016,CIS,621,"Wilson, Christopher ",27,23,4,0,0,0,3.76

201503,Spring 2016,CIS,110,"Colbert, Phillip Dean",204,107,65,14,1,4,3.39

201503,Spring 2016,CIS,111,"Skorodinsky, Makseem Angel",86,19,27,19,0,3,2.82

201503,Spring 2016,CIS,111,"Holleran, Pat ",113,34,36,19,4,4,2.88

201503,Spring 2016,CIS,115,"Colbert, Phillip Dean",48,12,18,4,0,3,2.92

201503,Spring 2016,CIS,122,"Freeman Hennessy, Kathleen ",108,24,21,25,6,4,2.64

201503,Spring 2016,CIS,211,"Hornof, Anthony J",65,15,16,11,5,5,2.58

201503,Spring 2016,CIS,212,"Wills, Eric David",94,35,33,17,4,2,3.02

201503,Spring 2016,CIS,315,"Wilson, Christopher ",65,29,20,9,2,5,2.98

